INDEX:5031:<DateTimeISO>,IBM_Open:5031:<double>,IBM_High:5031:<double>,IBM_Low:5031:<double>,IBM_Close:5031:<double>,IBM_Adj_Close:5031:<double>,IBM_Volume:5031:<long>
2006-12-20,96.099998,96.500000,95.699997,96.000000,64.393921,3654600
2006-12-21,95.779999,96.500000,95.529999,95.910004,64.333595,4405600
2006-12-22,95.750000,95.980003,95.239998,95.250000,63.890892,3031500
2006-12-26,95.000000,95.809998,94.919998,95.660004,64.165894,2278700
2006-12-27,96.300003,97.230003,96.269997,97.199997,65.198868,4571600
2006-12-28,97.110001,97.400002,96.870003,96.970001,65.044579,4501700
2006-12-29,97.000000,97.879997,96.830002,97.150002,65.165344,4455900
2007-01-03,97.180000,98.400002,96.260002,97.269997,65.245827,9196800
2007-01-04,97.250000,98.790001,96.879997,98.309998,65.943436,10524500
2007-01-05,97.599998,97.949997,96.910004,97.419998,65.346443,7221300
2007-01-08,98.500000,99.500000,98.349998,98.900002,66.339195,10340000
2007-01-09,99.080002,100.330002,99.070000,100.070000,67.123985,11108200
2007-01-10,98.500000,99.050003,97.930000,98.889999,66.332497,8744800
2007-01-11,99.000000,99.900002,98.500000,98.650002,66.171516,8000700
2007-01-12,98.989998,99.690002,98.500000,99.339996,66.634323,6636500
2007-01-16,99.400002,100.839996,99.300003,100.820000,67.627075,9602200
2007-01-17,100.690002,100.900002,99.900002,100.019997,67.090462,8200700
2007-01-18,99.800003,99.949997,98.910004,99.449997,66.708084,14636100
2007-01-19,95.000000,96.849998,94.550003,96.169998,64.507996,26035800
2007-01-22,96.419998,97.230003,96.120003,97.110001,65.138512,13539300
2007-01-23,96.910004,97.379997,96.199997,97.080002,65.118378,10337400
2007-01-24,97.080002,97.580002,96.580002,97.400002,65.333038,5700000
2007-01-25,97.220001,97.919998,97.220001,97.510002,65.406799,6201300
2007-01-26,97.519997,97.830002,96.839996,97.449997,65.366539,5771100
2007-01-29,97.699997,98.660004,97.449997,98.540001,66.097710,7294800
2007-01-30,98.570000,99.449997,98.500000,99.370003,66.654442,7177900
2007-01-31,98.800003,99.480003,98.349998,99.150002,66.506866,6432600
2007-02-01,98.970001,99.180000,97.959999,99.000000,66.406281,6610700
2007-02-02,99.099998,99.730003,98.879997,99.169998,66.520279,6656300
2007-02-05,99.169998,100.440002,98.900002,100.379997,67.331940,8184800
2007-02-06,100.000000,100.400002,99.540001,99.849998,66.976425,6532800
2007-02-07,99.800003,100.360001,99.120003,99.540001,66.969688,7698200
2007-02-08,98.900002,99.739998,98.650002,99.620003,67.023506,6152200
2007-02-09,99.519997,99.699997,97.809998,98.550003,66.303658,6100400
2007-02-12,98.800003,99.199997,98.220001,98.580002,66.323799,5331000
2007-02-13,98.599998,98.739998,97.800003,98.290001,66.128716,5702800
2007-02-14,98.500000,99.430000,98.250000,99.199997,66.740921,5644800
2007-02-15,99.059998,99.519997,98.480003,98.919998,66.552559,5568600
2007-02-16,99.120003,99.250000,98.629997,98.989998,66.599640,4800700
2007-02-20,98.660004,99.459999,98.550003,99.349998,66.841866,4124200
2007-02-21,98.900002,99.370003,98.699997,99.089996,66.666939,4302400
2007-02-22,98.800003,99.500000,97.769997,98.500000,66.269989,5900100
2007-02-23,98.400002,98.440002,97.410004,97.730003,65.751915,6355800
2007-02-26,97.860001,97.860001,96.459999,96.910004,65.200233,5922100
2007-02-27,96.000000,96.010002,92.879997,93.959999,63.215496,11996700
2007-02-28,93.709999,94.089996,92.470001,92.940002,62.529259,12191600
2007-03-01,90.250000,93.050003,88.769997,92.269997,62.078491,12865700
2007-03-02,92.000000,92.370003,90.839996,90.900002,61.156765,9451300
2007-03-05,90.250000,92.150002,90.099998,91.809998,61.769024,10314900
2007-03-06,92.400002,93.889999,92.260002,93.800003,63.107872,9184200
2007-03-07,93.970001,94.849998,93.620003,93.940002,63.202057,10269100
2007-03-08,94.500000,94.820000,92.519997,93.000000,62.569633,7403900
2007-03-09,93.480003,94.000000,92.820000,93.279999,62.757999,6333000
2007-03-12,93.290001,94.169998,92.970001,94.110001,63.316429,5531300
2007-03-13,93.860001,94.470001,92.620003,92.709999,62.374531,7539100
2007-03-14,92.650002,94.029999,92.099998,93.760002,63.080944,8713900
2007-03-15,93.400002,93.970001,93.099998,93.449997,62.872391,5910000
2007-03-16,94.449997,94.449997,93.019997,93.250000,62.737816,8728700
2007-03-19,93.949997,94.320000,93.389999,93.989998,63.235668,4568100
2007-03-20,94.000000,94.529999,93.550003,94.500000,63.578815,4560000
2007-03-21,94.500000,95.809998,93.830002,95.360001,64.157433,7665600
2007-03-22,95.099998,95.440002,94.650002,95.190002,64.043015,5700400
2007-03-23,94.820000,95.220001,94.650002,95.029999,63.935387,4412500
2007-03-26,95.000000,95.250000,94.320000,95.000000,63.915207,6729400
2007-03-27,94.709999,95.029999,94.199997,94.730003,63.733566,4695800
2007-03-28,93.900002,95.019997,93.800003,94.260002,63.417320,8128000
2007-03-29,94.660004,95.110001,93.959999,94.570000,63.625919,6851500
2007-03-30,94.239998,94.750000,93.570000,94.260002,63.417320,7638100
2007-04-02,94.510002,95.500000,94.059998,95.209999,64.056519,5883700
2007-04-03,95.449997,96.230003,95.330002,96.099998,64.655273,5730800
2007-04-04,95.800003,96.449997,95.570000,96.209999,64.729271,4276200
2007-04-05,95.980003,96.750000,95.750000,96.519997,64.937843,3307100
2007-04-09,96.430000,96.940002,96.120003,96.620003,65.005127,4850600
2007-04-10,96.400002,96.800003,96.160004,96.459999,64.897499,3596400
2007-04-11,96.510002,96.699997,94.949997,95.160004,64.022850,5936900
2007-04-12,95.029999,95.820000,94.529999,95.669998,64.365982,7085300
2007-04-13,95.750000,95.750000,94.589996,94.930000,63.868134,6027800
2007-04-16,94.989998,96.300003,94.720001,96.180000,64.709106,6865100
2007-04-17,96.300003,97.660004,96.019997,97.120003,65.341530,10264000
2007-04-18,94.800003,95.910004,94.400002,94.800003,63.780640,15871700
2007-04-19,94.500000,94.870003,94.000000,94.290001,63.437542,9445600
2007-04-20,95.019997,95.150002,93.910004,94.580002,63.632660,9340300
2007-04-23,95.160004,95.730003,95.050003,95.209999,64.056519,7247400
2007-04-24,97.230003,99.900002,97.230003,98.489998,66.263260,21450700
2007-04-25,98.739998,101.699997,98.730003,101.459999,68.261452,14827300
2007-04-26,101.000000,101.500000,100.209999,100.900002,67.884689,8608500
2007-04-27,100.300003,101.169998,100.059998,101.169998,68.066345,6141400
2007-04-30,101.110001,103.000000,100.970001,102.209999,68.766037,10050400
2007-05-01,102.059998,103.169998,102.050003,103.169998,69.411911,8670100
2007-05-02,102.800003,103.139999,102.129997,102.220001,68.772766,6820300
2007-05-03,101.750000,103.000000,101.349998,102.800003,69.162964,7302200
2007-05-04,102.750000,103.029999,102.250000,102.959999,69.270645,5464800
2007-05-07,102.760002,103.169998,102.400002,103.160004,69.405182,5620100
2007-05-08,102.419998,103.389999,102.209999,103.290001,69.763161,5965000
2007-05-09,103.930000,104.750000,103.699997,104.379997,70.499359,8408100
2007-05-10,103.820000,105.110001,103.709999,104.680000,70.701981,8959800
2007-05-11,104.690002,105.989998,104.669998,105.980003,71.580025,6026100
2007-05-14,105.809998,106.250000,104.790001,105.570000,71.303108,5732600
2007-05-15,105.400002,105.800003,104.699997,104.830002,70.803268,6104200
2007-05-16,105.099998,105.889999,104.529999,105.870003,71.505730,5613500
2007-05-17,105.610001,106.230003,104.730003,105.309998,71.127502,7706400
2007-05-18,105.839996,108.050003,105.599998,107.989998,72.937584,9857500
2007-05-21,107.669998,108.000000,106.870003,107.040001,72.295975,7512200
2007-05-22,106.949997,107.250000,106.010002,106.699997,72.066299,5313300
2007-05-23,106.800003,107.000000,105.250000,105.580002,71.309875,4396900
2007-05-24,105.449997,105.980003,103.570000,103.949997,70.208931,6926300
2007-05-25,103.900002,105.430000,103.849998,105.180000,71.039673,6123000
2007-05-29,105.570000,106.629997,105.300003,105.910004,71.532730,5420300
2007-05-30,105.400002,107.099998,105.209999,106.930000,72.221626,7401000
2007-05-31,107.260002,107.669998,106.000000,106.599998,71.998772,5097700
2007-06-01,106.620003,107.239998,106.019997,106.540001,71.958244,5289200
2007-06-04,106.500000,106.589996,105.580002,106.230003,71.748856,4569900
2007-06-05,106.550003,106.550003,105.540001,105.839996,71.485481,5244200
2007-06-06,105.500000,105.510002,102.389999,102.410004,69.168800,30770700
2007-06-07,102.459999,103.169998,101.559998,101.800003,68.756828,14384600
2007-06-08,101.800003,103.209999,101.750000,103.070000,69.614571,8216300
2007-06-11,102.870003,104.000000,102.500000,103.220001,69.715897,7903100
2007-06-12,103.110001,103.180000,102.150002,102.339996,69.121498,5578400
2007-06-13,102.849998,103.260002,102.099998,103.120003,69.648346,6437600
2007-06-14,103.099998,104.239998,102.809998,103.849998,70.141403,5165600
2007-06-15,104.220001,105.190002,103.879997,105.089996,70.978912,9432300
2007-06-18,105.269997,105.650002,104.889999,105.330002,71.140999,6359200
2007-06-19,104.930000,106.660004,104.900002,106.500000,71.931221,5754000
2007-06-20,106.500000,107.019997,105.949997,106.000000,71.593521,6541500
2007-06-21,105.769997,107.000000,105.610001,106.599998,71.998772,5587800
2007-06-22,105.959999,106.440002,104.440002,104.440002,70.539871,10808500
2007-06-25,104.730003,105.769997,104.500000,105.099998,70.985649,8476400
2007-06-26,105.099998,106.059998,104.820000,105.330002,71.140999,5229600
2007-06-27,104.750000,105.470001,104.400002,105.430000,71.208542,5403800
2007-06-28,105.519997,106.919998,105.220001,105.949997,71.559761,5430900
2007-06-29,105.959999,106.580002,104.099998,105.250000,71.086952,7018400
2007-07-02,105.389999,105.800003,104.580002,105.010002,70.924866,4701300
2007-07-03,105.500000,107.080002,105.239998,106.580002,71.985260,4217900
2007-07-05,106.309998,108.389999,105.980003,108.050003,72.978127,6670900
2007-07-06,107.790001,109.660004,107.660004,109.029999,73.640038,8977200
2007-07-09,108.730003,109.349998,108.199997,108.970001,73.599510,6046300
2007-07-10,108.550003,109.150002,108.250000,108.629997,73.369858,6209300
2007-07-11,108.300003,109.599998,108.250000,109.099998,73.687294,5887800
2007-07-12,109.349998,109.650002,108.220001,109.279999,73.808884,9544100
2007-07-13,108.750000,109.199997,108.099998,108.599998,73.349617,7124100
2007-07-16,108.570000,110.040001,108.419998,109.660004,74.065552,8864200
2007-07-17,109.660004,111.470001,109.449997,110.769997,74.815216,7619900
2007-07-18,110.250000,111.879997,110.040001,111.080002,75.024590,10154100
2007-07-19,115.000000,116.480003,114.650002,115.860001,78.253052,17281600
2007-07-20,114.849998,115.860001,113.940002,114.809998,77.543892,11706300
2007-07-23,114.879997,116.430000,114.849998,116.379997,78.604286,8040900
2007-07-24,115.320000,117.000000,115.019997,116.169998,78.462463,10499300
2007-07-25,116.190002,118.379997,115.239998,118.099998,79.765991,11340000
2007-07-26,117.010002,118.820000,115.519997,116.529999,78.705589,16822100
2007-07-27,116.620003,117.949997,115.620003,115.620003,78.090988,18138700
2007-07-30,115.000000,115.750000,113.519997,114.519997,77.348038,15095400
2007-07-31,114.720001,114.720001,110.019997,110.650002,74.734169,17816200
2007-08-01,110.389999,112.730003,110.059998,112.040001,75.672981,12390300
2007-08-02,112.099998,114.050003,111.500000,113.230003,76.476753,11318900
2007-08-03,113.239998,114.180000,111.699997,111.889999,75.571671,9571300
2007-08-06,111.970001,113.889999,111.699997,113.889999,76.922531,7245500
2007-08-07,113.019997,114.169998,112.250000,113.529999,76.679367,8021400
2007-08-08,114.300003,114.599998,112.260002,112.980003,76.577705,7681400
2007-08-09,110.769997,114.489998,110.730003,110.730003,75.052650,9086000
2007-08-10,109.750000,113.500000,109.699997,112.639999,76.347260,9592200
2007-08-13,112.989998,113.949997,112.309998,112.709999,76.394676,6135500
2007-08-14,112.830002,113.150002,111.739998,112.050003,75.947342,5615600
2007-08-15,111.000000,112.849998,109.910004,111.230003,75.391533,11640200
2007-08-16,110.980003,111.419998,103.699997,109.690002,74.347763,16723000
2007-08-17,111.870003,112.669998,108.660004,110.900002,75.167877,15274600
2007-08-20,110.900002,111.099998,109.129997,109.220001,74.029175,9839800
2007-08-21,108.900002,110.110001,108.080002,109.040001,73.907181,8458500
2007-08-22,110.089996,110.500000,109.150002,110.000000,74.557854,6329700
2007-08-23,110.400002,111.680000,110.010002,111.449997,75.540649,8271000
2007-08-24,111.449997,113.250000,110.809998,113.239998,76.753944,7058700
2007-08-27,113.000000,113.849998,112.800003,113.440002,76.889481,4921800
2007-08-28,112.900002,113.589996,111.629997,112.000000,75.913445,6006600
2007-08-29,112.879997,114.980003,112.070000,114.570000,77.655396,7049800
2007-08-30,113.620003,116.000000,113.620003,115.370003,78.197647,7756100
2007-08-31,115.989998,117.349998,115.550003,116.690002,79.092323,6883600
2007-09-04,116.339996,118.889999,116.150002,118.190002,80.109009,8070500
2007-09-05,117.480003,118.150002,116.550003,117.879997,79.898911,6555500
2007-09-06,117.919998,118.750000,116.239998,117.620003,79.722687,6778600
2007-09-07,116.199997,116.970001,115.330002,115.550003,78.319633,7511700
2007-09-10,116.150002,117.500000,115.320000,115.800003,78.489090,6118300
2007-09-11,116.349998,117.779999,116.040001,117.349998,79.539680,8098700
2007-09-12,116.949997,117.400002,115.690002,116.000000,78.624641,6287200
2007-09-13,116.300003,117.000000,115.739998,115.949997,78.590736,4802700
2007-09-14,115.050003,116.000000,114.650002,115.129997,78.034966,6904400
2007-09-17,114.699997,115.250000,114.300003,114.519997,77.621513,5022400
2007-09-18,115.000000,116.779999,114.830002,116.629997,79.051659,7839500
2007-09-19,116.900002,117.190002,115.779999,116.669998,79.078758,10311200
2007-09-20,116.269997,117.650002,116.199997,116.860001,79.207550,5806400
2007-09-21,117.889999,118.099998,116.349998,116.779999,79.153336,9097300
2007-09-24,116.900002,117.430000,115.849998,116.250000,78.794098,5734300
2007-09-25,116.019997,117.589996,115.790001,116.510002,78.970337,7045200
2007-09-26,116.940002,118.080002,116.750000,117.300003,79.505768,6695200
2007-09-27,117.500000,118.209999,117.040001,117.709999,79.783684,5834500
2007-09-28,117.139999,118.500000,117.099998,117.800003,79.844666,7720200
2007-10-01,117.610001,119.500000,117.500000,119.029999,80.678398,6777300
2007-10-02,119.309998,119.599998,118.139999,118.360001,80.224266,6911500
2007-10-03,117.650002,117.839996,116.279999,116.400002,78.895767,7914100
2007-10-04,116.199997,116.750000,115.000000,115.690002,78.414528,6177500
2007-10-05,116.169998,116.709999,115.470001,116.300003,78.827965,5749400
2007-10-08,116.099998,118.230003,115.879997,117.769997,79.824348,4822900
2007-10-09,117.849998,118.500000,116.419998,118.300003,80.183586,5670600
2007-10-10,118.000000,118.800003,117.680000,118.620003,80.400482,5913800
2007-10-11,118.989998,121.459999,117.370003,118.050003,80.014107,13018800
2007-10-12,118.500000,118.889999,117.279999,117.809998,79.851456,5656200
2007-10-15,117.949997,118.370003,116.750000,118.029999,80.000572,6267300
2007-10-16,118.019997,119.940002,117.500000,119.599998,81.064728,11527300
2007-10-17,118.010002,118.010002,114.150002,115.779999,78.475525,18100500
2007-10-18,114.820000,116.410004,114.440002,114.800003,77.811272,7736500
2007-10-19,113.980003,114.930000,111.800003,112.279999,76.103218,10327200
2007-10-22,110.970001,113.879997,110.959999,113.370003,76.842041,7576900
2007-10-23,113.779999,114.800003,113.500000,114.680000,77.729935,5562900
2007-10-24,114.199997,114.449997,111.680000,112.949997,76.557373,8072600
2007-10-25,113.320000,114.400002,111.690002,112.809998,76.462479,6519900
2007-10-26,113.000000,114.000000,112.070000,113.730003,77.086037,5030300
2007-10-29,113.900002,115.010002,113.849998,114.800003,77.811272,5103200
2007-10-30,114.500000,114.900002,113.750000,114.120003,77.350395,4015500
2007-10-31,114.750000,116.250000,113.279999,116.120003,78.705986,7216800
2007-11-01,115.500000,116.089996,113.320000,113.650002,77.031799,7594400
2007-11-02,114.419998,115.150002,113.570000,114.589996,77.668938,6114800
2007-11-05,115.110001,115.110001,112.830002,113.400002,76.862366,7155300
2007-11-06,113.489998,113.949997,111.669998,113.169998,76.706467,7299700
2007-11-07,113.559998,113.639999,110.900002,111.080002,75.556900,7087000
2007-11-08,105.650002,110.320000,103.989998,106.110001,72.176300,23092200
2007-11-09,104.919998,104.919998,99.269997,100.250000,68.190315,18084100
2007-11-12,101.889999,104.190002,100.699997,101.449997,69.006599,13553600
2007-11-13,102.730003,105.739998,102.500000,105.269997,71.604942,10777900
2007-11-14,106.120003,106.419998,102.839996,103.440002,70.360207,8453600
2007-11-15,103.239998,105.639999,103.050003,103.599998,70.469002,8023600
2007-11-16,104.510002,105.000000,103.250000,104.790001,71.278458,9294000
2007-11-19,104.339996,105.389999,101.339996,102.220001,69.530327,9502200
2007-11-20,102.589996,104.970001,101.379997,103.419998,70.346550,8393400
2007-11-21,101.410004,104.089996,101.410004,102.220001,69.530327,7097200
2007-11-23,103.099998,104.139999,102.320000,104.050003,70.775078,2827700
2007-11-26,104.260002,105.150002,101.720001,101.970001,69.360283,7340700
2007-11-27,102.699997,104.580002,101.500000,103.830002,70.625481,9117500
2007-11-28,104.820000,108.269997,104.360001,107.370003,73.033348,9397700
2007-11-29,107.239998,107.870003,106.250000,107.500000,73.121811,7813800
2007-11-30,108.570000,109.190002,103.930000,105.180000,71.543716,12900200
2007-12-03,105.550003,107.139999,104.580002,105.830002,71.985878,7918800
2007-12-04,105.410004,107.419998,104.720001,106.629997,72.530060,6361800
2007-12-05,107.830002,108.519997,106.980003,108.160004,73.570740,6090400
2007-12-06,108.000000,110.000000,107.930000,109.699997,74.618256,5315500
2007-12-07,109.680000,110.000000,107.949997,108.860001,74.046928,5985500
2007-12-10,109.379997,110.260002,109.000000,109.389999,74.407387,4442200
2007-12-11,109.339996,110.400002,106.459999,106.989998,72.774910,8439700
2007-12-12,109.169998,110.199997,107.379997,108.470001,73.781601,7879800
2007-12-13,108.000000,108.639999,106.940002,108.180000,73.584343,6252800
2007-12-14,107.309998,107.559998,104.099998,105.769997,71.945015,9711200
2007-12-17,105.370003,105.989998,104.000000,104.529999,71.101608,7131100
2007-12-18,105.080002,106.970001,104.129997,106.309998,72.312370,8042000
2007-12-19,106.540001,108.379997,105.870003,107.139999,72.876938,7031100
2007-12-20,107.779999,109.489998,107.610001,108.839996,74.033287,8030900
2007-12-21,109.900002,111.160004,109.150002,111.050003,75.536514,13246600
2007-12-24,111.199997,112.000000,110.550003,111.650002,75.944633,2342400
2007-12-26,110.900002,112.190002,110.900002,111.559998,75.883438,3849400
2007-12-27,110.529999,111.300003,109.489998,109.599998,74.550255,4513600
2007-12-28,110.760002,110.760002,109.110001,110.089996,74.883514,5834500
